"","X.1","X","probe","gene","id","weight","newweight"
"59",59,108,"202842_s_at","DNAJB9","ENSG00000128590",-0.062550086484268,-0.0732845774596833
"60",60,109,"213007_at","FANCI","ENSG00000140525",-0.0105781969037762,-0.0188131976109396
"61",61,110,"208942_s_at","SEC62","ENSG00000008952",-0.0996944005531858,-0.120092544930435
"62",62,115,"201307_at","11-Sep","ENSG00000138758",0.0164925076573208,0.0255005670845093
"63",63,116,"202813_at","TARBP1","ENSG00000059588",0.0547508890118559,0.0487654992942394
"64",64,117,"202322_s_at","GGPS1","ENSG00000152904",0.0128945938676131,-0.00775253089422154
"65",65,118,"217852_s_at","ARL8B","ENSG00000134108",0.00078080860374577,0.0106495816405192
"66",66,119,"200933_x_at","RPS4X","ENSG00000198034",-0.0322581999457566,-0.0463378234447118
"67",67,123,"233437_at","GABRA4","ENSG00000109158",0.0445923111233813,0.0476399458624025
"68",68,124,"202728_s_at","LTBP1","ENSG00000049323",-0.110491572253885,-0.112136760965662
"69",69,125,"208667_s_at","ST13","ENSG00000100380",-0.0389953930227488,-0.0425167614504308
"70",70,126,"202107_s_at","MCM2","ENSG00000073111",0.0225490655109955,0.013047136454113
"71",71,127,"233399_x_at","ZNF252P","ENSG00000196922",-0.0183994540236258,-0.020070170473499
"72",72,128,"202532_s_at","DHFR","ENSG00000228716",-0.00063407777663618,0.00739212509733613
"73",73,131,"217548_at","ARPIN","ENSG00000242498",-0.0422745546301539,-0.0415284512876964
"74",74,132,"200701_at","NPC2","ENSG00000119655",-0.0210452256979565,-0.0407376271096444
"75",75,133,"238116_at","DYNLRB2","ENSG00000168589",0.0660971817524709,0.0795749834222709
"76",76,134,"217728_at","S100A6","ENSG00000197956",0.0773361612870129,0.080153425173468
"77",77,135,"221677_s_at","DONSON","ENSG00000159147",0.0125985686829356,0.00964150835528194
"78",78,136,"231989_s_at","SMG1","ENSG00000157106",0.073011096187736,0.0890640944480587
"79",79,137,"209026_x_at","TUBB","ENSG00000196230",0.025498590737044,0.0565648216969765
"80",80,138,"212788_x_at","FTL","ENSG00000087086",-0.0163691988848842,-0.075664938812822
"81",81,139,"214612_x_at","MAGEA3","ENSG00000221867",0.0495596844465701,0.0499397508082265
"82",82,140,"200775_s_at","HNRNPK","ENSG00000165119",0.0163467078063,0.0444203710220488
"83",83,141,"208904_s_at","RPS28","ENSG00000233927",-0.0333628118834898,0.00724459918315076
"84",84,142,"208967_s_at","AK2","ENSG00000004455",0.0112796922615379,0.0172471752741577
"85",85,143,"216473_x_at","DUX4L4","ENSG00000258834",-0.0575829465263513,-0.102742502950302
"86",86,144,"220351_at","ACKR4","ENSG00000129048",0.0420452994583269,0.044991017863885
"87",87,145,"223811_s_at","GET4","ENSG00000239857",0.055611094941233,0.0479512607867048
